is_number,title,sector,year,status,source_url
IS 694:2010,PVC insulated cables for working voltages up to and including 1100 V,Cables,2010,active,https://www.bis.gov.in/know-your-standard/
IS 2062:2011,Hot Rolled Medium and High Tensile Structural Steel,Steel,2011,active,https://www.bis.gov.in/know-your-standard/
IS 269:2015,Ordinary Portland Cement Specification,Cement,2015,active,https://www.bis.gov.in/know-your-standard/
IS 1786:2008,High Strength Deformed Steel Bars for Concrete Reinforcement,Steel,2008,active,https://www.bis.gov.in/know-your-standard/
IS 10500:2012,Drinking Water Specification,Water,2012,active,https://www.bis.gov.in/know-your-standard/
